CREATEDAT,ID,SKIPID
2021-10-20 23:30:41.000,70195,1319886
2021-11-04 01:00:30.000,73146,1321289
2021-10-25 00:14:16.000,70807,1336180
2021-10-31 03:49:57.000,72139,1365164
2021-11-07 16:48:27.000,73763,1367396
2021-11-02 10:48:20.000,72548,1372757
2021-10-11 05:26:30.000,68275,1280715
2021-10-18 00:19:45.000,69505,1280118
2021-11-01 21:12:29.000,72409,1288809
2021-11-27 13:33:01.000,77623,1291491
2021-10-23 13:14:50.000,70602,1294565
2021-10-19 21:04:45.000,69884,1298865
2021-11-16 18:50:53.000,75837,1308490
2021-10-19 19:15:33.000,69839,1315455
2021-10-21 16:28:51.000,70330,1325386
2021-10-21 16:46:58.000,70334,1325661
2021-10-22 20:33:47.000,70531,1330025
2021-11-02 16:21:02.000,72648,1368928
2021-10-19 04:59:44.000,69711,1280135
2021-11-01 20:56:30.000,72402,1288800
2021-11-01 21:12:16.000,72408,1288793
2021-11-14 01:19:45.000,75307,1288808
2021-11-16 05:10:15.000,75663,1300731
2021-10-17 21:21:49.000,69479,1301153
2021-10-17 00:03:03.000,69381,1303862
2021-10-22 01:35:56.000,70420,1305289
2021-10-27 16:47:22.000,71476,1306838
2021-10-26 00:29:17.000,70984,1321100
2021-10-25 03:09:19.000,70830,1321612
2021-10-25 10:37:34.000,70854,1329893
2021-10-25 00:18:56.000,70809,1331450
2021-11-03 03:32:20.000,72884,1334377
2021-10-26 13:26:58.000,71058,1335558
2021-11-15 22:41:11.000,75591,1365391
2021-11-03 03:36:06.000,72887,1372084
2021-11-07 23:16:31.000,73829,1372203
2021-11-10 19:45:40.000,74632,1376381
2021-11-02 16:30:33.000,72656,1376700
2021-10-26 18:28:24.000,71209,1280716
2021-10-18 17:31:37.000,69597,1280670
2021-11-01 20:56:39.000,72403,1288790
2021-10-13 16:41:29.000,68779,1290802
2021-10-24 13:29:36.000,70717,1291478
2021-10-21 16:08:04.000,70329,1296336
2021-11-02 16:23:20.000,72649,1305672
2021-11-02 17:53:41.000,72675,1308107
2021-11-04 20:53:20.000,73353,1316999
2021-10-26 14:52:54.000,71107,1319449
2021-10-29 17:01:46.000,71944,1324415
2021-10-22 00:49:59.000,70408,1327525
2021-11-04 22:40:10.000,73369,1371630
2021-11-02 13:25:44.000,72555,1373023
2021-11-09 15:58:38.000,74178,1373976
2021-10-13 00:11:02.000,68656,1286086
2021-10-13 12:40:40.000,68739,1289824
2021-10-13 14:37:03.000,68760,1290010
2021-10-18 05:30:58.000,69543,1290801
2021-10-18 19:58:40.000,69611,1309160
2021-11-02 22:13:50.000,72759,1312993
2021-10-20 01:02:45.000,69954,1317667
2021-10-21 16:29:30.000,70331,1325387
2021-10-22 01:31:18.000,70417,1327568
2021-11-08 18:42:36.000,73965,1332698
2021-12-29 00:22:56.000,82868,1613776
2021-12-29 00:45:43.000,82875,1613772
2021-12-27 15:58:21.000,82508,1615220
2022-01-03 18:13:49.000,83772,1615828
2022-01-01 16:31:01.000,83445,1615987
2022-01-02 18:13:06.000,83594,1627921
2021-12-29 15:36:00.000,82968,1634767
2022-01-04 17:16:46.000,84009,1659026
2022-01-19 01:36:44.000,87281,1656932
2022-01-04 14:33:19.000,83945,1657100
2021-12-23 15:45:50.000,82083,1611769
2021-12-31 18:28:55.000,83383,1622239
2022-01-24 23:22:23.000,88820,1623254
2022-01-10 17:04:19.000,85282,1624450
2021-12-28 16:35:45.000,82699,1626706
2022-01-14 15:48:01.000,86392,1633638
2022-01-04 00:58:32.000,83864,1638657
2021-12-31 11:52:55.000,83352,1641182
2022-01-12 02:04:57.000,85743,1647089
2022-01-14 00:21:05.000,86287,1647925
2022-01-05 00:26:50.000,84179,1661047
2022-01-24 07:36:22.000,88669,1656940
2022-01-19 02:17:34.000,87297,1664245
2022-01-03 17:17:30.000,83766,1615221
2021-12-26 19:45:13.000,82438,1621295
2022-01-06 17:34:45.000,84616,1621527
2022-01-27 04:07:26.000,89782,1623302
2022-01-12 04:20:43.000,85784,1631425
2021-12-29 22:58:43.000,83079,1638449
2022-01-05 17:00:05.000,84351,1641463
2022-01-12 02:02:51.000,85741,1644290
2022-01-10 20:21:35.000,85318,1648058
2022-01-19 04:08:45.000,87341,1652708
2022-01-13 20:09:45.000,86226,1654986
2022-01-24 07:36:24.000,88670,1656942
2022-01-11 05:15:23.000,85444,1657044
2022-01-04 16:57:01.000,83991,1658297
2022-01-06 01:36:25.000,84483,1619864
2022-01-13 03:42:21.000,86070,1628227
2021-12-29 05:12:33.000,82919,1629939
2021-12-28 16:35:41.000,82698,1626704
2022-01-25 19:06:53.000,89091,1636319
2022-01-12 21:08:26.000,85957,1647453
2022-01-19 13:30:41.000,87399,1652284
2022-01-21 00:45:48.000,87945,1653312
2022-01-24 07:36:27.000,88671,1656954
2022-01-19 03:36:26.000,87333,1658331
2022-01-05 08:21:09.000,84283,1617296
2021-12-24 20:09:55.000,82266,1617477
2022-01-02 19:48:47.000,83608,1620595
2022-01-10 03:07:54.000,85195,1623243
2022-01-04 17:16:32.000,84008,1628144
2021-12-30 01:39:55.000,83118,1627283
2022-01-22 15:21:28.000,88290,1647195
2022-01-03 04:50:15.000,83696,1652707
2022-01-22 15:44:09.000,88294,1652056
2022-01-14 16:03:29.000,86397,1653878
2022-01-05 17:57:38.000,84376,1667022
2021-12-29 21:18:48.000,83065,1610344
2021-12-23 15:33:46.000,82077,1611736
2022-01-27 20:05:44.000,89993,1623288
2022-01-11 22:29:33.000,85642,1625685
2021-12-31 12:20:35.000,83354,1625800
2021-12-28 16:31:46.000,82694,1628140
2022-01-10 20:29:27.000,85320,1627908
2022-01-04 17:16:49.000,84010,1628141
2022-01-10 06:05:01.000,85225,1639443
2022-01-01 22:26:02.000,83482,1647664
2022-01-05 00:35:44.000,84185,1663465
2021-12-28 17:31:41.000,82743,1610343
2021-12-24 23:40:59.000,82285,1617758
2022-01-03 02:24:28.000,83676,1620217
2022-01-27 04:09:45.000,89784,1623297
2022-01-05 05:25:25.000,84265,1623231
2022-01-27 04:08:13.000,89783,1623299
2022-01-06 00:56:11.000,84476,1627580
2022-01-12 22:45:56.000,85987,1636390
2022-01-04 16:26:41.000,83971,1636840
2022-01-11 03:14:01.000,85420,1641367
2022-01-02 12:06:35.000,83567,1650115
2022-01-03 21:50:27.000,83820,1655007
2022-02-07 21:17:24.000,92933,1656965
2022-01-09 01:46:46.000,85042,1666483
2021-12-24 06:14:16.000,82198,1615940
2021-12-28 15:26:05.000,82651,1626821
2021-12-28 16:31:22.000,82692,1628135
2021-12-28 22:14:10.000,82838,1632464
2022-01-12 02:13:57.000,85747,1647090
2022-01-01 16:29:18.000,83444,1647449
2022-01-08 14:09:52.000,84941,1647662
2022-01-10 10:24:21.000,85235,1656451
2022-01-04 18:47:50.000,84072,1661152
2022-01-06 05:27:13.000,84542,1667066
2022-01-09 01:30:27.000,85041,1666482
2022-03-03 01:58:07.000,99600,1972530
2022-03-03 01:58:19.000,99601,1972540
2022-03-02 20:22:58.000,99498,1971941
2022-03-03 01:59:50.000,99602,1972542
2022-02-22 17:49:30.000,96840,1912466
2022-03-02 04:09:38.000,99308,1913065
2022-03-02 14:50:02.000,99379,1915411
2022-02-23 15:35:03.000,97246,1917882
2022-02-24 17:42:15.000,97773,1916960
2022-02-22 19:35:13.000,96925,1915625
2022-02-23 14:37:25.000,97225,1921174
2022-02-24 13:47:10.000,97689,1929692
2022-02-28 00:58:47.000,98628,1942891
2022-02-28 13:52:14.000,98725,1921823
2022-02-25 17:04:20.000,98057,1938171
2022-02-25 16:29:58.000,98049,1925948
2022-02-28 18:44:23.000,98792,1951314
2022-03-02 14:07:10.000,99375,1907505
2022-02-22 03:35:45.000,96706,1907990
2022-02-28 23:30:05.000,98878,1929673
2022-02-24 15:35:55.000,97721,1929997
2022-02-25 22:34:30.000,98125,1940031
2022-03-03 05:22:57.000,99670,1961726
2022-02-27 03:25:10.000,98425,1906323
2022-02-22 22:00:54.000,96973,1913062
2022-02-23 18:30:12.000,97319,1914284
2022-02-25 17:04:20.000,98058,1938122
2022-02-24 00:51:19.000,97526,1920832
2022-02-23 15:20:22.000,97241,1921591
2022-02-24 16:58:07.000,97745,1926083
2022-03-02 17:59:27.000,99445,1939707
2022-03-01 02:32:09.000,98934,1956339
2022-03-01 17:48:37.000,99079,1960765
2022-02-22 02:28:48.000,96679,1908194
2022-02-22 02:17:32.000,96676,1908121
2022-02-23 05:33:41.000,97159,1919976
2022-02-24 15:43:57.000,97723,1927536
2022-03-03 05:12:02.000,99666,1935389
2022-03-01 17:48:55.000,99080,1960761
2022-01-26 18:09:28.000,89525,1737222
2022-01-23 19:53:18.000,88530,1742260
2022-01-26 21:21:16.000,89568,1745657
2022-02-07 03:45:19.000,92812,1750494
2022-02-02 23:08:33.000,91800,1752035
2022-01-26 07:17:59.000,89416,1759677
2022-01-31 02:41:48.000,90867,1767961
